,batch_size,resize_factor,frozen_epochs,unfrozen_epochs,frozen_lr,unfrozen_lr,base,erode_dilate,ratio_split,base_lower_bound,base_upper_bound,base_factors,erode_dilate_lower_bound,erode_dilate_upper_bound,erode_dilate_factors,erode_dilate_iterations,ratio_split_lower_bound,ratio_split_upper_bound,iou,wrong_count,kfold_split
0,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,30,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.7,1.5,0.9518098122370532,0,0
1,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,30,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.9,1.5,0.952347132961833,2,0
2,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,30,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.7,1.5,0.9518098122370532,0,0
3,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,30,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.9,1.5,0.952347132961833,2,0
4,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,40,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.7,1.5,0.9518098122370532,0,0
5,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,40,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.9,1.5,0.952347132961833,2,0
6,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,40,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.7,1.5,0.9518098122370532,0,0
7,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,40,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.9,1.5,0.952347132961833,2,0
8,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,50,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.7,1.5,0.9518098122370532,0,0
9,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,50,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.9,1.5,0.952347132961833,2,0
10,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,50,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.7,1.5,0.9518098122370532,0,0
11,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,50,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.9,1.5,0.952347132961833,2,0
12,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,60,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.7,1.5,0.9518098122370532,0,0
13,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,60,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.9,1.5,0.952347132961833,2,0
14,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,60,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.7,1.5,0.9518098122370532,0,0
15,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,60,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.9,1.5,0.952347132961833,2,0
16,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,70,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.7,1.5,0.9518098122370532,0,0
17,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,70,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.9,1.5,0.952347132961833,2,0
18,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,70,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.7,1.5,0.9518098122370532,0,0
19,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,7,70,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.9,1.5,0.952347132961833,2,0
20,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,30,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.7,1.5,0.9518098122370532,0,0
21,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,30,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.9,1.5,0.952347132961833,2,0
22,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,30,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.7,1.5,0.9518098122370532,0,0
23,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,30,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.9,1.5,0.952347132961833,2,0
24,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,40,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.7,1.5,0.9518098122370532,0,0
25,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,40,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.9,1.5,0.952347132961833,2,0
26,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,40,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.7,1.5,0.9518098122370532,0,0
27,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,40,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.9,1.5,0.952347132961833,2,0
28,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,50,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.7,1.5,0.9518098122370532,0,0
29,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,50,"[0.1, 0.01]",5,40,"[0.1, 0.01]",40,0.9,1.5,0.952347132961833,2,0
30,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,50,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.7,1.5,0.9518098122370532,0,0
31,8,2,2,3,0.001,"slice(0.0001, 0.0002, None)",True,True,True,10,50,"[0.1, 0.01]",5,40,"[0.1, 0.01]",100,0.9,1.5,0.952347132961833,2,0
